indicator,category,quality_category,valid_percentage,direction,weight,scoring_method,score_included
births_attended_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_fully_vaccinated_based_on_information_from_either_vaccination_card_or_mother_s_recall11_pct,Maternal & Newborn Health,High,98.15864022662889,Positive,0.023809523809523808,Min-Max 0-100,True
children_under_age_3_years_breastfed_within_one_hour_of_birth15_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
children_under_age_5_years_whose_birth_was_registered_with_the_civil_authority_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
children_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
home_births_that_were_conducted_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
institutional_births_in_public_facility_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
institutional_births_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
mothers_who_consumed_iron_folic_acid_for_100_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
mothers_who_consumed_iron_folic_acid_for_180_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
mothers_who_had_an_antenatal_check_up_in_the_first_trimester_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
mothers_who_had_at_least_4_antenatal_care_visits_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
mothers_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
mothers_whose_last_birth_was_protected_against_neonatal_tetanus_for_last_birth_in_the_5_years_before_the_survey_9_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
non_pregnant_women_age_15_49_years_who_are_anaemic_12_0_g_dl_22_pct,Maternal & Newborn Health,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
pregnant_women_age_15_49_years_who_are_anaemic_11_0_g_dl_22_pct,Maternal & Newborn Health,Moderate,81.01983002832861,Negative,0.023809523809523808,Min-Max 0-100,True
registered_pregnancies_for_which_the_mother_received_a_mother_and_child_protection_mcp_card_for_last_birth_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
women_age_15_19_years_who_were_already_mothers_or_pregnant_at_the_time_of_the_survey_pct,Maternal & Newborn Health,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
women_age_15_24_years_who_use_hygienic_methods_of_protection_during_their_menstrual_period5_pct,Maternal & Newborn Health,High,100.0,Positive,0.023809523809523808,Min-Max 0-100,True
women_age_20_24_years_married_before_age_18_years_pct,Maternal & Newborn Health,High,100.0,Negative,0.023809523809523808,Min-Max 0-100,True
children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_private_health_facility_pct,Child Immunization,High,97.73371104815864,Context,0.0,Context Only,False
children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_public_health_facility_pct,Child Immunization,High,97.73371104815864,Context,0.0,Context Only,False
average_out_of_pocket_expenditure_per_delivery_in_a_public_health_facility_for_last_birth_in_the_5_years_before_the_survey_rs,Maternal & Newborn Health,High,99.85835694050992,Context,0.0,Context Only,False
births_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Context,0.0,Context Only,False
births_in_a_private_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,Moderate,78.75354107648725,Context,0.0,Context Only,False
births_in_a_public_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Context,0.0,Context Only,False
births_in_the_5_years_preceding_the_survey_that_are_third_or_higher_order_pct,Maternal & Newborn Health,High,99.85835694050992,Context,0.0,Context Only,False
sex_ratio_at_birth_for_children_born_in_the_last_five_years_females_per_1_000_males,Maternal & Newborn Health,High,100.0,Context,0.0,Context Only,False
