indicator,total_rows,valid_values,low_sample_values,suppressed_values,missing_values,valid_percentage,quality_category,category,selection,selection_reason,direction
women_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_wih_high_141_160_mg_dl_blood_sugar_level23_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_30_49_years_ever_undergone_a_screening_test_for_cervical_cancer_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Context
women_age_30_49_years_ever_undergone_a_breast_examination_for_breast_cancer_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Context
women_age_30_49_years_ever_undergone_an_oral_cavity_examination_for_oral_cancer_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Context
women_age_15_years_and_above_who_use_any_kind_of_tobacco_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_who_use_any_kind_of_tobacco_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
women_age_15_years_and_above_who_consume_alcohol_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
men_age_15_years_and_above_who_consume_alcohol_pct,706,706,0,0,0,100.0,High,Adult Health & Risk Factors,Supporting,Supporting/contextual indicator,Negative
